teamAbbrev,avg_team_weight,avg_team_height,avg_team_age,num_CAN_players,num_FIN_players,OTHER,num_RUS_players,num_SWE_players,num_USA_players,num_LeftShot_players,num_RightShot_players
ANA,202.25,73.45833333333333,27.041666666666668,7,0,3,1,4,9,18,6
BOS,209.32,74.56,27.28,5,1,2,1,2,14,14,11
BUF,202.91304347826087,73.95652173913044,25.782608695652176,10,2,2,0,1,8,16,7
CAR,202.9090909090909,73.45454545454545,29.0,9,3,1,3,0,6,16,6
CBJ,201.96296296296296,73.37037037037037,27.333333333333332,10,0,1,5,0,11,19,8
CGY,197.28,73.52,27.6,12,0,5,1,2,5,19,6
CHI,197.52173913043478,73.6086956521739,27.91304347826087,7,1,3,1,1,10,18,5
COL,195.91304347826087,73.04347826086956,28.0,10,3,1,1,1,7,17,6
DAL,199.28,73.52,28.32,11,4,1,2,2,5,16,9
DET,199.72,73.4,28.4,4,0,2,1,7,11,18,7
EDM,198.3181818181818,73.22727272727273,29.818181818181817,14,1,1,1,4,1,12,10
FLA,197.38095238095238,73.80952380952381,28.333333333333332,7,4,2,2,2,4,17,4
LAK,205.0,74.0,28.083333333333332,10,0,4,1,3,6,17,7
MIN,196.16,72.6,28.96,7,0,3,3,5,7,19,6
MTL,204.69565217391303,73.08695652173913,26.0,14,2,2,0,1,4,12,11
NJD,199.32,73.52,28.36,9,1,7,0,2,6,16,9
NSH,199.08,73.36,28.44,11,2,1,1,4,6,15,10
NYI,204.59259259259258,73.85185185185185,29.25925925925926,9,0,0,4,4,10,17,10
NYR,205.58333333333334,73.83333333333333,28.0,7,1,1,2,2,11,15,9
OTT,198.92,73.32,27.68,11,1,2,1,2,8,14,11
PHI,198.125,73.20833333333333,27.375,9,2,1,3,1,8,14,10
PIT,198.70833333333334,73.125,29.583333333333332,11,1,1,1,2,8,16,8
SEA,195.28571428571428,72.61904761904762,27.761904761904763,13,3,2,0,1,2,16,5
SJS,198.84615384615384,73.11538461538461,26.76923076923077,9,0,4,2,5,6,16,10
STL,202.1818181818182,73.63636363636364,28.227272727272727,12,0,3,2,2,3,17,5
TBL,200.47619047619048,73.76190476190476,28.952380952380953,6,0,4,2,2,7,14,7
TOR,208.5,73.8076923076923,29.076923076923077,13,1,1,0,3,8,18,8
UTA,202.91304347826087,73.6086956521739,27.434782608695652,9,2,1,1,1,9,13,10
VAN,195.0,73.84,27.08,4,1,5,0,5,10,18,7
VGK,207.66666666666666,74.375,28.666666666666668,15,0,1,3,2,3,15,9
WPG,199.79166666666666,73.83333333333333,28.083333333333332,11,2,2,1,1,7,17,7
WSH,202.30769230769232,74.0,29.5,8,0,4,2,2,10,14,12
